category,name,model,specification,color,feature,spec_model,spec_color,spec_feature,spec_rated_power,spec_voltage,spec_frequency,spec_cable_length,spec_product_size,spec_gift_box_size,spec_carton_size,spec_package_standard,spec_net_weight,spec_gross_weight,html_content,image_url,product_url
Hair Dryer,High Speed Hair Dryer GF-10,GF-10,"220V-240V~, 50Hz/60Hz, 1600W; 1.8M power cable",Gray/White/Morandi color scheme,"110,000r/min high-speed brushless motor;Three-level safety protectionStrong airflow for fast drying; 200 million negative ions;Intelligent temperaturecontrol system;2 wind speed options, 4 temperature controlled options",GF-10,Gray/Wh ite,"110,000r/min high-speed brushless motor ; Three-level safety protection ; Strong airflow for fast drying ; 200 million negative ions ; Intelligent temperaturecontrol system ; 2 wind speed options, 4 temperature controlled options ; Hot & Cool air switch ; Multiple combination noise reduction",1600W,220V-240V~,50Hz/60Hz,1.8M,W9 0 xD 70 xH 260MM,W 325 xD 149 x H80MM,L605 x W256 x H346MM,16 PCS/CTN,0.73 KG/PC,0.77 KG/PC,"<li>110,000r/min high-speed brushless motor</li>
<li>Three-level safety protection</li>
<li>Strong airflow for fast drying</li>
<li>200 million negative ions</li>
<li>Intelligent temperaturecontrol system</li>
<li>2 wind speed options, 4 temperature controlled options</li>
<li>Hot & Cool air switch</li>
<li>Multiple combination noise reduction</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: GF-10</li>
<li>Color: Gray/Wh ite</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1600W; 1.8M power cable</li>
<li>Rated Power: 1600W</li>
<li>Voltage: 220V-240V~</li>
<li>Rated Frequency: 50Hz/60Hz</li>
<li>Length of Power Cable: 1.8M</li>
<li>Product Size: W9 0 xD 70 xH 260MM</li>
<li>Gift Box Size: W 325 xD 149 x H80MM</li>
<li>Master Carton Size: L605 x W256 x H346MM</li>
<li>Package Standard: 16 PCS/CTN</li>
<li>Net Weight: 0.73 KG/PC</li>
<li>Gross Weight: 0.77 KG/PC</li>","https://cdn.globalso.com/aolga-hk/385.jpg,https://cdn.globalso.com/aolga-hk/1195.jpg,https://cdn.globalso.com/aolga-hk/2118.jpg",https://www.aolga-hk.com/high-speed-hair-dryer-gf-10-product/
Hair Dryer,High Speed Hair Dryer DF21,DF21,"220V-240V~, 50Hz/60Hz, 1600-1800W; 1.8M power cable",Gray/White,"High-speed motor with 110,000r/m; 23m/s large wind speed; 200,000,000 negative ions; 59dB acoustic noise reduction",DF21,Gray/Whire,"High-speed motor with 110,000r/m in; 23m/s large wind speed; 200,000,000 negative ions; 59dB acoustic noise reductionHot , warm and cold air circulating; 3 wind speed options, 3 temperature controlled options; Motor protection/Overheat protection/Constant temperature detection/Wind blocking protection",1600-1800W,220V-240V~,50Hz/60Hz,1.8M,W91xD69xH278mm,W324xD165xH85MM,W530xD333xH351MM,12PCS/CTN,0.51KG/PC,/,"<li>High-speed motor with 110,000r/m in</li>
<li>23m/s large wind speed</li>
<li>200,000,000 negative ions</li>
<li>59dB acoustic noise reductionHot , warm and cold air circulating</li>
<li>3 wind speed options, 3 temperature controlled options</li>
<li>Motor protection/Overheat protection/Constant temperature detection/Wind blocking protection</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: DF21</li>
<li>Color: Gray/Whire</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1600-1800W; 1.8M power cable</li>
<li>Rated Power: 1600-1800W</li>
<li>Voltage: 220V-240V~</li>
<li>Rated Frequency: 50Hz/60Hz</li>
<li>Length of Power Cable: 1.8M</li>
<li>Product Size: W91xD69xH278mm</li>
<li>Gift Box Size: W324xD165xH85MM</li>
<li>Master Carton Size: W530xD333xH351MM</li>
<li>Package Standard: 12PCS/CTN</li>
<li>Net Weight: 0.51KG/PC</li>","https://cdn.globalso.com/aolga-hk/未标题-1-32.jpg,https://cdn.globalso.com/aolga-hk/未标题-114.jpg,https://cdn.globalso.com/aolga-hk/21-1.jpg,https://cdn.globalso.com/aolga-hk/21-4.jpg,https://cdn.globalso.com/aolga-hk/21-2.jpg,https://cdn.globalso.com/aolga-hk/21-3.jpg",https://www.aolga-hk.com/high-speed-hair-dryer-df21-product/
Hair Dryer,High Speed Hair Dryer ZCY887-B,ZCY887-B,"220V-240V~, 50Hz/60Hz, 1500W; 1.6M power cable",Gray/White,"110,000r/min high-speed brushless motor; 22m/s large wind speed; 200,000,000 negative ions; 59dB low noise; Hot, warm and cold air circulating; Motor protection/Overheat protection/Constant temperature detection; Wind blocking protection",ZCY887-B,Gray/White,"110,000r/min high-speed brushless motor; 22m/s large wind speed; 200,000,000 negative ions; 59dB low noise; Hot, warm and cold air circulating; 3 wind speed options,4 temperature controlled options; Hot & Cool air switch; Motor protection/Overheat protection/Constant temperature detection/Wind blocking protection",1500W,220-240V~,50Hz/60Hz,1.6M,71x90x276MM(WxDxH),147x82x306MM(WxDxH),437x321x340MM(WxDxH),10PCS/CTN,0.41KG/PC,0.54KG/PC,"<li>110,000r/min high-speed brushless motor</li>
<li>22m/s large wind speed</li>
<li>200,000,000 negative ions</li>
<li>59dB low noise</li>
<li>Hot, warm and cold air circulating</li>
<li>3 wind speed options,4 temperature controlled options</li>
<li>Hot & Cool air switch</li>
<li>Motor protection/Overheat protection/Constant temperature detection/Wind blocking protection</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: ZCY887-B</li>
<li>Color: Gray/White</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1500W; 1.6M power cable</li>
<li>Rated Power: 1500W</li>
<li>Voltage: 220-240V~</li>
<li>Rated Frequency: 50Hz/60Hz</li>
<li>Length of Power Cable: 1.6M</li>
<li>Product Size: 71x90x276MM(WxDxH)</li>
<li>Gift Box Size: 147x82x306MM(WxDxH)</li>
<li>Master Carton Size: 437x321x340MM(WxDxH)</li>
<li>Package Standard: 10PCS/CTN</li>
<li>Net Weight: 0.41KG/PC</li>
<li>Gross Weight: 0.54KG/PC</li>","https://cdn.globalso.com/aolga-hk/87.jpg,https://cdn.globalso.com/aolga-hk/714.jpg,https://cdn.globalso.com/aolga-hk/1012.jpg,https://cdn.globalso.com/aolga-hk/164.jpg,https://cdn.globalso.com/aolga-hk/257.jpg",https://www.aolga-hk.com/high-speed-hair-dryer-zcy887-b-product/
Hair Dryer,High Speed Hair Dryer DF23,DF23,"220V-240V~, 50Hz/60Hz, 1600W; 1.8M power cable",Gray/White,"High-speed motor with 105,000r/min; 16m/s large wind speed; NTC temperature control; Effectively sterilize with high concentration positive ion to improve scalp health; Auto cleaning up by reverse cold wind blowing; 2 wind speed options,3 temperature controlled options",DF23,Gray/Whire,"High-speed motor with 105,000r/min; 16m/s large wind speed; NTC temperature control; Effectively sterilize with high concentration positive ion to improve scalp health; Auto cleaning up by reverse cold wind blowing; 2 wind speed options,3 temperature controlled options",1600W,220V-240V~,50Hz/60Hz,1.8M,W90xD73xH295mm,/,/,/,0.38KG/PC,/,"<li>High-speed motor with 105,000r/min</li>
<li>16m/s large wind speed</li>
<li>NTC temperature control</li>
<li>Effectively sterilize with high concentration positive ion to improve scalp health</li>
<li>Auto cleaning up by reverse cold wind blowing</li>
<li>2 wind speed options,3 temperature controlled options</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: DF23</li>
<li>Color: Gray/Whire</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1600W; 1.8M power cable</li>
<li>Rated Power: 1600W</li>
<li>Voltage: 220V-240V~</li>
<li>Rated Frequency: 50Hz/60Hz</li>
<li>Length of Power Cable: 1.8M</li>
<li>Product Size: W90xD73xH295mm</li>
<li>Net Weight: 0.38KG/PC</li>","https://cdn.globalso.com/aolga-hk/150.jpg,https://cdn.globalso.com/aolga-hk/246.jpg,https://cdn.globalso.com/aolga-hk/335.jpg,https://cdn.globalso.com/aolga-hk/423.jpg",https://www.aolga-hk.com/high-speed-hair-dryer-df23-product/
Hair Dryer,High Torque Hair Dryer RM-DF15,RM-DF15,"220V-240V~, 50Hz/60Hz, 1800W; 1.8M power cable",Gray/White,DC motor with high torque and high speed; 6cm 11m/s airflow speed; 12L/s greater blasting capacity for fast dry; Overheating protection to automatically power off,RM-DF15,Gray/White,S mall and portable use; DC motor with high torque and high speed; 6cm 11m/s airflow speed; 12L/s greater blasting capacity for fast dry; O verheating protection to automatically power off; 2 wind speed options; 3 temperature controlled options; O ptional anion care,1800W,220V-240V~,50Hz/60Hz,1.8M,L135 x W70 x H190 MM,W 140x D 75x H 260MM,W 57 5 x D 387x H 278MM,20PCS/CTN,0. 46 KG/PC,0. 58 KG/PC,"<li>S mall and portable use</li>
<li>DC motor with high torque and high speed</li>
<li>6cm 11m/s airflow speed</li>
<li>12L/s greater blasting capacity for fast dry</li>
<li>O verheating protection to automatically power off</li>
<li>2 wind speed options</li>
<li>3 temperature controlled options</li>
<li>O ptional anion care</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: RM-DF15</li>
<li>Color: Gray/White</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1800W; 1.8M power cable</li>
<li>Rated Power: 1800W</li>
<li>Voltage: 220V-240V~</li>
<li>Rated Frequency: 50Hz/60Hz</li>
<li>Length of Power Cable: 1.8M</li>
<li>Product Size: L135 x W70 x H190 MM</li>
<li>Gift Box Size: W 140x D 75x H 260MM</li>
<li>Master Carton Size: W 57 5 x D 387x H 278MM</li>
<li>Package Standard: 20PCS/CTN</li>
<li>Net Weight: 0. 46 KG/PC</li>
<li>Gross Weight: 0. 58 KG/PC</li>","https://cdn.globalso.com/aolga-hk/961.jpg,https://cdn.globalso.com/aolga-hk/631.jpg,https://cdn.globalso.com/aolga-hk/DF15-灰色.jpg,https://cdn.globalso.com/aolga-hk/DF15-白色.jpg",https://www.aolga-hk.com/ao-d15-straight-tube-blower-product/
Hair Dryer,Negative lon Hair Dryer RM-DF11,RM-DF11,"220V-240V~, 50Hz/60Hz, 1400W; 1.8M power cable",Gray/White/Black,360 magnetic ironing tuyere apparatus; High torque and high speed; Noise silencer,RM-DF11,White/Gray/Blcak,360 magnetic ironing tuyere apparatus and anti-scald nozzle; high torque and high speed; double-layer structure and low surface temperature for thermal insulation effectively; 6cm 11m/s wind speed; 12L/s greater air volume; 22000r/min 1500 motor speed; 2 wind speed options; 3 temperature controlled options; spray oil (through paint) surface; overheating protection,1400W,220V -240 V ~,50Hz/60Hz,1.8M,L95 x W75 x H195mm,W 100x D 80x H 260MM,W 415x D 332x H 278MM,16PCS/CTN,0. 5KG/PC,0. 68KG/PC,"<li>360 magnetic ironing tuyere apparatus and anti-scald nozzle</li>
<li>high torque and high speed</li>
<li>double-layer structure and low surface temperature for thermal insulation effectively</li>
<li>6cm 11m/s wind speed</li>
<li>12L/s greater air volume</li>
<li>22000r/min 1500 motor speed</li>
<li>2 wind speed options</li>
<li>3 temperature controlled options</li>
<li>spray oil (through paint) surface</li>
<li>overheating protection</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: RM-DF11</li>
<li>Color: White/Gray/Blcak</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1400W; 1.8M power cable</li>
<li>Rated Power: 1400W</li>
<li>Voltage: 220V -240 V ~</li>
<li>Rated Frequency: 50Hz/60Hz</li>
<li>Length of Power Cable: 1.8M</li>
<li>Product Size: L95 x W75 x H195mm</li>
<li>Gift Box Size: W 100x D 80x H 260MM</li>
<li>Master Carton Size: W 415x D 332x H 278MM</li>
<li>Package Standard: 16PCS/CTN</li>
<li>Net Weight: 0. 5KG/PC</li>
<li>Gross Weight: 0. 68KG/PC</li>","https://cdn.globalso.com/aolga-hk/11-1.jpg,https://cdn.globalso.com/aolga-hk/AOLGA-Hair-Dryer-RM-DF11gray2.jpg,https://cdn.globalso.com/aolga-hk/11-8.jpg,https://cdn.globalso.com/aolga-hk/Hair-Dryer-RM-DF113.jpg,https://cdn.globalso.com/aolga-hk/AOLGA-Hair-Dryer-RM-DF11gray.jpg,https://cdn.globalso.com/aolga-hk/AOLGA-Hair-Dryer-RM-DF11white.jpg,https://cdn.globalso.com/aolga-hk/11-3.jpg,https://cdn.globalso.com/aolga-hk/11-4.jpg,https://cdn.globalso.com/aolga-hk/11-10.jpg",https://www.aolga-hk.com/ao-d11-hair-drier-product/
Hair Dryer,Foldable Hair Dryer,RM-DF12,"220V-240V~, 50Hz/60Hz, 1800-2000W",Gray/White/Red,"Foldable design, UV paint surface with delicate comfortable feeling; With powerful DC motor, high torque, high speed; Intelligent temperature control for cooling and heating cycles, triple overheating",,,,,,,,,,,,,,"<li>Foldable design, UV paint surface with delicate comfortable feeling</li>
<li>With powerful DC motor, high torque, high speed</li>
<li>Intelligent temperature control for cooling and heating cycles, triple overheating</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: RM-DF12</li>
<li>Color: Gray/White/Red</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1800-2000W</li>","https://cdn.globalso.com/aolga-hk/12-1.jpg,https://cdn.globalso.com/aolga-hk/12-2.jpg,https://cdn.globalso.com/aolga-hk/未标题-111.jpg",https://www.aolga-hk.com/foldable-hair-dryer-product/
Hair Dryer,BLDC Motor Hair Dryer RM-DF06,RM-DF06,"220V-240V~, 50Hz/60Hz, 1800W; 1.8M power cable",Gray/Purple,"BLDC powerful brushless motor which has high rotating speed of 110,000r/m with long service life reaching 1000H; Airflow speed: 19m/s; Blast capacity18 L/s; Noise 30cm 85dB; 2 wind speed options and 3 temperature controlled options",RM-DF06,Gray/Purple,"BLDC powerful brushless motor which has high rotating speed of 110,000r/m with long service life reaching 1000H, Airflow speed: 19m/s, Blast capacity18 L/s, Noise 30cm 85dB, 2 wind speed options and 3 temperature controlled options",1800W,220V-240V~,50/60Hz,1.8M,/,/,/,/,/,/,"<li>BLDC powerful brushless motor which has high rotating speed of 110,000r/m with long service life reaching 1000H, Airflow speed: 19m/s, Blast capacity18 L/s, Noise 30cm 85dB, 2 wind speed options and 3 temperature controlled options</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: RM-DF06</li>
<li>Color: Gray/Purple</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1800W; 1.8M power cable</li>
<li>Rated Power: 1800W</li>
<li>Voltage: 220V-240V~</li>
<li>Rated Frequency: 50/60Hz</li>
<li>Length of Power Cable: 1.8M</li>","https://cdn.globalso.com/aolga-hk/AOLGA-Hair-Dryer-RM-DF06.jpg,https://cdn.globalso.com/aolga-hk/AOLGA-Hair-Dryer-RM-DF062.jpg,https://cdn.globalso.com/aolga-hk/214.jpg,https://cdn.globalso.com/aolga-hk/未标题-13.jpg",https://www.aolga-hk.com/rm-df06-hair-drier-product/
Hair Dryer,High Speed Hair Dryer A1,A1,"220V-240V~, 50Hz/60Hz, 1500W; 1.6M power cable",Gray/White,"110,000r/min high-speed brushless motor; 20m/s large wind speed200,000,000 negative ions; Hot, warm and cold air circulating; 2 wind speed options, 4 temperature controlled optionsHot & Cool air switch; Motor protection/Overheat protection/Constant temperature detection/Windblocking protection",A1,Gray/White,"110,000r/min high-speed brushless motor; 20m/s large wind speed; 200,000,000 negative ions; 59dB low noise; Hot, warm and cold air circulating; 2 wind speed options,4 temperature controlled options; Hot & Cool air switch; Motor protection/Overheat protection/Constant temperature detection/Wind blocking protection",1500W,220-240V~,50Hz/60Hz,1.6M,/,/,403x320x320MM(WxDxH),/,/,0.58KG/PC,"<li>110,000r/min high-speed brushless motor</li>
<li>20m/s large wind speed</li>
<li>200,000,000 negative ions</li>
<li>59dB low noise</li>
<li>Hot, warm and cold air circulating</li>
<li>2 wind speed options,4 temperature controlled options</li>
<li>Hot & Cool air switch</li>
<li>Motor protection/Overheat protection/Constant temperature detection/Wind blocking protection</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: A1</li>
<li>Color: Gray/White</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1500W; 1.6M power cable</li>
<li>Rated Power: 1500W</li>
<li>Voltage: 220-240V~</li>
<li>Rated Frequency: 50Hz/60Hz</li>
<li>Length of Power Cable: 1.6M</li>
<li>Master Carton Size: 403x320x320MM(WxDxH)</li>
<li>Gross Weight: 0.58KG/PC</li>",https://cdn.globalso.com/aolga-hk/A11.jpg,https://www.aolga-hk.com/high-speed-hair-dryer-a1-product/
Hair Dryer,High Speed Hair Dryer A1S,A1S,"220V-240V~, 50Hz/60Hz, 1500W; 1.6M power cable",Gray/White,"110,000r/min high-speed brushless motor; 20m/s large wind speed; 200,000,000 negative ions; 59dB low noise; Hot, warm and cold air circulating; 2 wind speed options,4 temperature controlled options; LED display;",A1 S,Gray/White,"110,000r/min high-speed brushless motor; 20m/s large wind speed; 200,000,000 negative ions; 59dB low noise; Hot, warm and cold air circulating; 2 wind speed options,4 temperature controlled options; Hot & Cool air switch; Led display; Motor protection/Overheat protection/Constant temperature detection/Wind blocking protection",1500W,220-240V~,50Hz/60Hz,1.6M,/,/,403x320x320MM(WxDxH),/,/,0.58KG/PC,"<li>110,000r/min high-speed brushless motor</li>
<li>20m/s large wind speed</li>
<li>200,000,000 negative ions</li>
<li>59dB low noise</li>
<li>Hot, warm and cold air circulating</li>
<li>2 wind speed options,4 temperature controlled options</li>
<li>Hot & Cool air switch</li>
<li>Led display</li>
<li>Motor protection/Overheat protection/Constant temperature detection/Wind blocking protection</li>
<p style=""margin-top: 26px; margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Model: A1 S</li>
<li>Color: Gray/White</li>
<li>Specification: 220V-240V~, 50Hz/60Hz, 1500W; 1.6M power cable</li>
<li>Rated Power: 1500W</li>
<li>Voltage: 220-240V~</li>
<li>Rated Frequency: 50Hz/60Hz</li>
<li>Length of Power Cable: 1.6M</li>
<li>Master Carton Size: 403x320x320MM(WxDxH)</li>
<li>Gross Weight: 0.58KG/PC</li>",https://cdn.globalso.com/aolga-hk/165.jpg,https://www.aolga-hk.com/high-speed-hair-dryer-a1s-product/
