sku,image_url
GF-10,https://cdn.globalso.com/aolga-hk/385.jpg
DF21,https://cdn.globalso.com/aolga-hk/未标题-1-32.jpg
ZCY887-B,https://cdn.globalso.com/aolga-hk/87.jpg
DF23,https://cdn.globalso.com/aolga-hk/150.jpg
RM-DF15,https://cdn.globalso.com/aolga-hk/961.jpg
RM-DF11,https://cdn.globalso.com/aolga-hk/11-1.jpg
RM-DF12,https://cdn.globalso.com/aolga-hk/12-1.jpg
RM-DF06,https://cdn.globalso.com/aolga-hk/AOLGA-Hair-Dryer-RM-DF06.jpg
A1,https://cdn.globalso.com/aolga-hk/A11.jpg
A1S,https://cdn.globalso.com/aolga-hk/165.jpg
RCY-67588B,https://cdn.globalso.com/aolga-hk/RCY-67588.jpg
RCY-568,https://cdn.globalso.com/aolga-hk/AOLGA-Wall-Mounted-Hair-Dryer-RCY-568.jpg
RCY-67220,https://cdn.globalso.com/aolga-hk/177.jpg
67220-2,https://cdn.globalso.com/aolga-hk/179.jpg
RCY-67600B,https://cdn.globalso.com/aolga-hk/175.jpg
RCY-67300B,https://cdn.globalso.com/aolga-hk/173.jpg
RCY-67600D,https://cdn.globalso.com/aolga-hk/未标题-124.jpg
RCY-67480T,https://cdn.globalso.com/aolga-hk/未标题-125.jpg
RCY-67480,https://cdn.globalso.com/aolga-hk/169.jpg
D158,https://cdn.globalso.com/aolga-hk/D158黑色.jpg
HD-887,https://cdn.globalso.com/aolga-hk/HD-887.jpg
HD-872,https://cdn.globalso.com/aolga-hk/872-1.jpg
QL-5920,https://cdn.globalso.com/aolga-hk/5920-1.jpg
C187,https://cdn.globalso.com/aolga-hk/167.jpg
C309,https://cdn.globalso.com/aolga-hk/166.jpg
C201,https://cdn.globalso.com/aolga-hk/201.jpg
C203,https://cdn.globalso.com/aolga-hk/C203.jpg
C189,https://cdn.globalso.com/aolga-hk/C189.jpg
BY-5926,https://cdn.globalso.com/aolga-hk/254.jpg
BY-5913,https://cdn.globalso.com/aolga-hk/252.jpg
EKS07228E-3,https://cdn.globalso.com/aolga-hk/119.png
LL-08P01,https://cdn.globalso.com/aolga-hk/LL-08P0112.png
HOT-W20T,https://cdn.globalso.com/aolga-hk/186.jpg
F-677T,https://cdn.globalso.com/aolga-hk/188.jpg
EKS06227A-1,https://cdn.globalso.com/aolga-hk/1198.jpg
EKS06618XH-4S,https://cdn.globalso.com/aolga-hk/1196.jpg
LL-8516,https://cdn.globalso.com/aolga-hk/LL-8516.jpg
GL-B04E5B,https://cdn.globalso.com/aolga-hk/5b.jpg
EKS06226B-1,https://cdn.globalso.com/aolga-hk/180.jpg
XT-9S,https://cdn.globalso.com/aolga-hk/XT-9S.jpg
EKS08125,https://cdn.globalso.com/aolga-hk/184.jpg
EKS10108,https://cdn.globalso.com/aolga-hk/10108-1.jpg
FK-1623,https://cdn.globalso.com/aolga-hk/1-1.jpg
LL-8710d,https://cdn.globalso.com/aolga-hk/330.jpg
K584PN,https://cdn.globalso.com/aolga-hk/187.jpg
K105MN,https://cdn.globalso.com/aolga-hk/185.jpg
HOT-YO8,https://cdn.globalso.com/aolga-hk/120385589382.jpg
HOT-W20,https://cdn.globalso.com/aolga-hk/713.jpg
