epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4855,3.15986,6.32955,2.75774,0.00075,0.22581,0.00023,4e-05,3.12607,6.9396,2.55447,0.0003,0.0003,0.0003
2,164.332,2.78757,5.02972,2.2025,0.0014,0.41935,0.00087,0.0002,2.35471,5.84672,2.03592,0.00059954,0.00059954,0.00059954
3,217.154,2.7142,4.49826,2.02203,0.00183,0.54839,0.0011,0.00027,2.50269,6.29303,2.01766,0.00087796,0.00087796,0.00087796
4,281.86,2.45389,4.40876,1.86473,0.00215,0.64516,0.00233,0.00058,2.53176,5.88009,1.93727,0.00113526,0.00113526,0.00113526
5,333.603,2.40818,4.00841,1.83022,0.00215,0.64516,0.00145,0.00051,2.53678,5.59796,1.92045,0.00137144,0.00137144,0.00137144
6,380.284,2.37776,3.93435,1.83344,0.01929,0.03226,0.02143,0.00731,2.78886,5.28647,2.22022,0.0015865,0.0015865,0.0015865
7,430.128,2.26032,3.61317,1.78243,0.17724,0.19355,0.07789,0.02362,2.22298,4.2852,1.93139,0.001604,0.001604,0.001604
8,477.167,2.26977,3.66964,1.80068,0.48227,0.06452,0.08366,0.03045,2.32394,4.37314,2.01696,0.001538,0.001538,0.001538
9,527.965,2.158,3.53403,1.71486,0.10307,0.12903,0.05709,0.0157,2.28343,4.74781,2.09699,0.001472,0.001472,0.001472
10,574.702,2.16166,3.39288,1.73151,0.09438,0.19355,0.04478,0.01554,2.46768,4.51916,2.10839,0.001406,0.001406,0.001406
11,624.714,2.13543,3.27809,1.73589,0.08162,0.25806,0.04885,0.01996,2.05555,3.87237,1.88212,0.00134,0.00134,0.00134
12,675.931,1.97132,3.00654,1.65388,0.17541,0.19355,0.07092,0.02666,2.08693,4.09137,1.90928,0.001274,0.001274,0.001274
13,726.38,2.14339,3.29719,1.7587,0.11299,0.19355,0.0771,0.03,2.06607,3.59735,1.85665,0.001208,0.001208,0.001208
14,773.778,1.9827,2.961,1.67371,0.07537,0.25806,0.05364,0.02283,2.1973,3.82087,1.89125,0.001142,0.001142,0.001142
15,819.522,1.96765,3.00195,1.69846,0.14165,0.09677,0.06419,0.02419,2.14659,3.89423,1.80152,0.001076,0.001076,0.001076
16,865.408,1.99741,2.99842,1.64875,0.06452,0.06452,0.0217,0.00824,2.2827,4.761,1.87046,0.00101,0.00101,0.00101
17,911.81,2.16709,3.14908,1.76995,0.08116,0.12903,0.05998,0.02445,1.90796,3.87174,1.72204,0.000944,0.000944,0.000944
18,958.55,1.98833,2.86663,1.70108,0.14342,0.19355,0.07816,0.02827,1.87446,3.73442,1.73843,0.000878,0.000878,0.000878
19,1003.96,1.85072,2.72168,1.67368,0.128,0.161,0.05014,0.0152,1.80339,4.14892,1.71012,0.000812,0.000812,0.000812
20,1056.24,1.80263,2.86504,1.64392,0.00942,0.09677,0.01165,0.00441,1.89143,4.59179,1.74816,0.000746,0.000746,0.000746
21,1100.71,1.76165,2.86611,1.67323,0.11775,0.25806,0.07863,0.02904,1.92599,3.72434,1.77628,0.00068,0.00068,0.00068
22,1145.8,1.70195,2.74547,1.68374,0.12839,0.3871,0.09149,0.0352,1.96686,3.36565,1.7723,0.000614,0.000614,0.000614
23,1190.23,1.70965,2.76786,1.65938,0.12547,0.3871,0.0966,0.04008,1.90633,3.25557,1.75074,0.000548,0.000548,0.000548
24,1244.72,1.6969,2.63241,1.63503,0.11157,0.41935,0.0941,0.04415,1.85479,3.2731,1.71202,0.000482,0.000482,0.000482
25,1294.06,1.71252,2.64953,1.60186,0.11158,0.32258,0.08938,0.04062,1.86182,3.28601,1.69332,0.000416,0.000416,0.000416
26,1335.26,1.63991,2.60065,1.54693,0.12867,0.29032,0.10027,0.04473,1.86513,3.16919,1.67353,0.00035,0.00035,0.00035
27,1381.45,1.65278,2.56715,1.54829,0.15274,0.29032,0.11189,0.05511,1.80082,3.08982,1.64533,0.000284,0.000284,0.000284
28,1429.82,1.54181,2.47822,1.51136,0.13941,0.32258,0.10932,0.05704,1.79316,3.08853,1.65095,0.000218,0.000218,0.000218
29,1480.27,1.5311,2.33681,1.50797,0.12573,0.32258,0.11934,0.05866,1.79872,3.13852,1.66287,0.000152,0.000152,0.000152
30,1530.37,1.6396,2.40605,1.56866,0.1319,0.33829,0.1082,0.04927,1.81359,3.15854,1.67334,8.6e-05,8.6e-05,8.6e-05
